BusinessTravel,DistanceFromHome,YearsAtCompany,Age,JobSatisfaction
Travel_Rarely,6,1,51,4.0
Travel_Frequently,10,5,31,2.0
Travel_Frequently,17,5,32,2.0
Non-Travel,2,8,38,4.0
Travel_Rarely,10,6,32,1.0
Travel_Rarely,8,7,46,2.0
Travel_Rarely,11,0,28,3.0
Travel_Rarely,18,0,29,2.0
Travel_Rarely,1,9,31,4.0
Non-Travel,7,6,25,1.0
Travel_Rarely,17,20,45,4.0
Travel_Rarely,28,15,36,4.0
Travel_Rarely,14,36,55,1.0
Non-Travel,1,10,47,2.0
Travel_Rarely,1,5,28,4.0
Travel_Rarely,1,5,37,4.0
Travel_Rarely,3,3,21,3.0
Non-Travel,1,5,37,4.0
Travel_Rarely,7,7,35,2.0
Travel_Rarely,8,8,38,1.0
Travel_Frequently,1,6,26,2.0
Travel_Rarely,8,10,50,2.0
Travel_Rarely,11,5,53,3.0
Travel_Rarely,4,20,42,3.0
Travel_Frequently,16,10,29,4.0
Travel_Rarely,1,10,55,4.0
Travel_Frequently,9,5,26,1.0
Travel_Rarely,5,17,37,4.0
Travel_Frequently,1,1,44,3.0
Travel_Rarely,2,2,38,4.0
Travel_Rarely,4,3,26,2.0
Travel_Rarely,7,5,28,4.0
Travel_Frequently,1,3,49,1.0
Travel_Rarely,5,8,36,2.0
Travel_Frequently,9,2,31,2.0
Travel_Rarely,8,8,26,4.0
Travel_Frequently,9,4,37,4.0
Travel_Frequently,2,20,42,2.0
Travel_Rarely,1,0,18,3.0
Travel_Rarely,20,11,35,2.0
Travel_Frequently,8,1,36,
Travel_Rarely,2,4,51,2.0
Travel_Rarely,29,22,41,2.0
Travel_Rarely,7,0,18,3.0
Travel_Rarely,9,8,28,1.0
Travel_Rarely,8,8,31,4.0
Travel_Rarely,5,18,39,4.0
Non-Travel,5,9,36,2.0
Travel_Rarely,2,13,32,3.0
Travel_Rarely,5,10,38,2.0
Non-Travel,2,5,58,3.0
Travel_Rarely,20,5,31,4.0
Travel_Rarely,7,2,31,1.0
Travel_Frequently,3,24,45,1.0
Travel_Rarely,16,2,31,4.0
Travel_Frequently,9,10,33,2.0
Travel_Rarely,1,21,39,1.0
Travel_Frequently,7,8,43,4.0
Travel_Rarely,1,7,49,3.0
Travel_Rarely,7,8,52,2.0
Travel_Rarely,15,4,27,2.0
Travel_Rarely,1,13,32,2.0
Travel_Rarely,13,5,27,3.0
Travel_Rarely,24,7,31,4.0
Travel_Rarely,7,7,32,4.0
Travel_Rarely,9,3,28,4.0
Travel_Rarely,13,10,30,4.0
Travel_Frequently,2,10,31,3.0
Travel_Frequently,19,21,39,4.0
Travel_Rarely,1,1,39,3.0
Travel_Frequently,4,7,33,4.0
Travel_Rarely,4,3,47,3.0
Travel_Frequently,14,9,43,3.0
Non-Travel,2,5,27,2.0
Travel_Frequently,1,4,54,3.0
Travel_Rarely,7,1,43,1.0
Travel_Rarely,3,10,45,4.0
Travel_Rarely,2,4,40,4.0
Travel_Rarely,29,7,29,1.0
Travel_Rarely,8,3,29,4.0
Travel_Rarely,10,10,30,3.0
Travel_Rarely,11,8,27,2.0
Travel_Rarely,1,6,37,4.0
Travel_Rarely,28,11,38,4.0
Travel_Rarely,6,11,31,4.0
Travel_Rarely,3,7,29,2.0
Travel_Rarely,16,16,35,2.0
Travel_Rarely,20,4,23,4.0
Travel_Rarely,9,5,41,2.0
Travel_Frequently,1,0,47,3.0
Travel_Rarely,3,1,42,4.0
Non-Travel,22,4,29,3.0
Travel_Rarely,7,3,42,3.0
Travel_Rarely,2,8,32,2.0
Travel_Rarely,13,0,48,3.0
Travel_Rarely,8,7,37,1.0
Non-Travel,25,2,30,3.0
Travel_Rarely,28,8,26,3.0
Travel_Rarely,2,1,42,4.0
Travel_Frequently,9,3,21,2.0
Non-Travel,28,1,36,4.0
Travel_Frequently,6,13,36,4.0
Travel_Rarely,21,3,57,3.0
Travel_Rarely,8,7,40,3.0
Non-Travel,1,3,21,4.0
Travel_Rarely,28,1,33,3.0
Travel_Rarely,5,5,37,1.0
Non-Travel,2,1,46,3.0
Travel_Frequently,16,8,41,2.0
Travel_Rarely,9,4,50,4.0
Travel_Rarely,8,6,40,3.0
Travel_Rarely,1,2,31,2.0
Travel_Rarely,10,1,21,2.0
Travel_Rarely,1,3,29,4.0
Travel_Rarely,29,1,35,2.0
Travel_Rarely,2,5,27,2.0
Travel_Rarely,2,7,28,4.0
Travel_Rarely,2,5,49,3.0
Travel_Rarely,1,7,51,4.0
Travel_Rarely,15,2,36,3.0
Non-Travel,7,5,34,4.0
Travel_Rarely,26,5,55,4.0
Travel_Rarely,1,5,24,3.0
Travel_Rarely,3,1,30,2.0
Travel_Frequently,14,6,26,
Travel_Rarely,16,2,22,2.0
Travel_Rarely,1,10,36,3.0
Travel_Frequently,3,1,30,4.0
Travel_Rarely,10,18,37,1.0
Travel_Rarely,6,5,40,2.0
Travel_Rarely,2,5,42,1.0
Travel_Rarely,9,1,37,2.0
Travel_Rarely,10,25,43,2.0
Travel_Rarely,6,1,40,3.0
Travel_Rarely,9,4,54,1.0
Non-Travel,28,3,34,3.0
Travel_Rarely,10,13,31,1.0
Travel_Frequently,14,3,43,4.0
Travel_Rarely,27,5,43,3.0
Travel_Rarely,7,5,25,4.0
Non-Travel,1,13,37,3.0
Travel_Rarely,24,4,31,1.0
Travel_Frequently,26,21,39,3.0
Travel_Frequently,20,7,56,1.0
Travel_Rarely,5,5,30,3.0
Travel_Rarely,7,10,41,1.0
Travel_Rarely,7,10,28,1.0
Travel_Rarely,5,2,25,1.0
Travel_Rarely,26,5,52,3.0
Travel_Rarely,2,2,45,4.0
Travel_Rarely,12,5,52,4.0
Travel_Frequently,10,5,42,3.0
Travel_Rarely,25,5,30,4.0
Travel_Rarely,10,29,60,1.0
Travel_Rarely,19,10,46,3.0
Travel_Frequently,18,6,42,4.0
Travel_Rarely,27,5,24,2.0
Travel_Frequently,5,2,34,3.0
Travel_Frequently,3,1,38,4.0
Travel_Rarely,26,20,40,3.0
Travel_Rarely,3,3,26,4.0
Non-Travel,15,5,30,4.0
Travel_Rarely,8,10,29,3.0
Travel_Rarely,19,2,29,2.0
Travel_Rarely,4,1,19,4.0
Non-Travel,2,9,30,1.0
Travel_Rarely,2,1,57,4.0
Travel_Rarely,10,27,50,3.0
Non-Travel,10,11,30,4.0
Travel_Frequently,16,18,60,1.0
Travel_Rarely,1,5,47,4.0
Travel_Rarely,4,3,46,3.0
Travel_Rarely,15,5,35,3.0
Travel_Rarely,2,1,54,3.0
Travel_Rarely,8,7,34,3.0
Travel_Rarely,2,3,46,4.0
Travel_Rarely,7,13,31,2.0
Travel_Rarely,10,7,33,3.0
Travel_Rarely,5,4,33,4.0
Travel_Rarely,2,3,30,2.0
Travel_Rarely,12,8,35,3.0
Travel_Frequently,22,1,31,3.0
Travel_Frequently,17,3,34,1.0
Travel_Frequently,2,2,42,3.0
Non-Travel,3,10,36,4.0
Travel_Frequently,7,2,22,3.0
Travel_Rarely,6,9,48,4.0
Travel_Rarely,1,10,55,2.0
Non-Travel,3,14,41,4.0
Travel_Rarely,22,11,35,3.0
Travel_Rarely,15,20,40,3.0
Travel_Frequently,12,8,39,3.0
Travel_Rarely,1,6,31,4.0
Travel_Rarely,5,10,42,1.0
Travel_Rarely,2,8,45,2.0
Travel_Frequently,2,7,26,3.0
Travel_Rarely,5,3,29,4.0
Travel_Rarely,16,6,33,3.0
Travel_Rarely,2,5,31,4.0
Travel_Frequently,2,0,18,2.0
Non-Travel,1,1,40,1.0
Non-Travel,23,8,41,3.0
Travel_Rarely,9,0,26,3.0
Travel_Rarely,16,5,35,3.0
Travel_Rarely,26,10,34,4.0
Travel_Rarely,1,1,26,4.0
Travel_Rarely,8,6,37,4.0
Travel_Frequently,4,2,46,3.0
Travel_Rarely,24,18,41,1.0
Non-Travel,7,9,37,2.0
Travel_Rarely,2,10,52,1.0
Non-Travel,7,4,32,3.0
Travel_Frequently,22,2,24,4.0
Travel_Rarely,5,1,38,3.0
Travel_Rarely,1,6,37,2.0
Travel_Rarely,21,31,49,3.0
Travel_Rarely,1,6,24,4.0
Travel_Rarely,19,5,26,2.0
Travel_Rarely,7,1,24,2.0
Travel_Frequently,2,32,50,2.0
Travel_Rarely,2,7,25,3.0
Travel_Frequently,2,6,24,3.0
Travel_Frequently,9,1,30,1.0
Travel_Rarely,6,6,34,4.0
Travel_Rarely,9,3,31,1.0
Travel_Rarely,2,3,35,4.0
Travel_Rarely,1,7,31,4.0
Travel_Rarely,22,5,27,3.0
Travel_Rarely,9,3,37,3.0
Travel_Rarely,17,1,20,2.0
Travel_Rarely,28,10,42,4.0
Travel_Rarely,10,1,43,4.0
Travel_Rarely,2,0,38,1.0
Travel_Frequently,4,8,43,3.0
Travel_Rarely,8,3,48,1.0
Travel_Rarely,29,2,44,3.0
Travel_Rarely,13,8,34,3.0
Travel_Rarely,27,4,27,1.0
Travel_Rarely,16,3,21,3.0
Travel_Rarely,2,2,44,4.0
Travel_Rarely,2,2,22,3.0
Travel_Rarely,13,5,33,3.0
